车型,空间,动力,操控,油耗,舒适性,外观,内饰,性价比,月份,销量
OULA R1,2,0.3,-0.55,NaN,NaN,NaN,NaN,NaN,9,1710
OULA R1,1.666666667,-0.6,2.133333333,1.266666667,1,0.733333333,NaN,NaN,1,1749
OULA R1,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,1837
weima,1.807692308,1.861538462,0.738461538,0.830769231,0.461538462,NaN,NaN,NaN,6,1902
BYD-TANG,4.48,3.32,1.12,0.08,-0.16,NaN,NaN,NaN,9,2012
Aion S,0.6,0.5,-0.8,NaN,3.9,-0.9,-0.4,0.5,6,2016
BYD-TANG,5.766666667,2.733333333,2.766666667,0.066666667,NaN,NaN,NaN,NaN,10,2016
Qin Pro ,1.466666667,1.333333333,NaN,NaN,NaN,NaN,NaN,NaN,6,2019
weima,1.614285714,2.142857143,1.585714286,2.142857143,0.95,0.385714286,0.357142857,0.071428571,5,2056
weima,2.941176471,1.388235294,1.582352941,1.117647059,0.994117647,0.870588235,0.247058824,0.352941176,10,2056
Qin Pro ,1.446666667,1.48,0.8,0.76,0.413333333,0.146666667,NaN,NaN,7,2086
BYD-TANG,1.45,0.0375,0.225,NaN,NaN,NaN,NaN,NaN,7,2100
BMW-5,1.133333333,1.166666667,1.133333333,0.433333333,2.466666667,1.066666667,0,0.633333333,3,2106
xiaopeng,0.833333333,0.977777778,0.688888889,0.666666667,0.222222222,NaN,NaN,NaN,9,2186
Qin Pro ,1.423333333,1.273333333,1.296666667,0.74,0.36,0.24,0.226666667,0.14,10,2217
BYD-TANG,4,1.466666667,1.6,0.966666667,0.333333333,NaN,NaN,NaN,5,2458
BMW-5,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,2593
BMW-5,-1.7,1,0.5,NaN,NaN,NaN,NaN,NaN,4,2615
BMW-5,0.4,-0.333333333,1.333333333,-0.066666667,0.066666667,0.333333333,-0.266666667,NaN,7,2752
BMW-5,-0.2,1.5,1,0.5,-0.1,0.6,0.6,NaN,10,2764
BORUI GE,0.554545455,-0.327272727,-0.254545455,0.072727273,0.272727273,0.290909091,-0.090909091,NaN,1,2873
BMW-5,0.625,0.55,0.95,0.4,1.55,0.55,1,-0.5,5,2878
BYD-TANG,2.714285714,1.957142857,2.342857143,NaN,0.457142857,NaN,NaN,NaN,6,2996
BMW-5,0.2,-0.2,7.2,NaN,NaN,NaN,NaN,NaN,8,3001
BYD-TANG,2.466666667,NaN,0,NaN,NaN,NaN,NaN,NaN,2,3216
BMW-5,0.028571429,1.371428571,0.885714286,0.285714286,1.428571429,0.685714286,0.685714286,1,9,3393
Aion S,2.15,1.15,0.316666667,0.85,0.725,0.283333333,0.166666667,NaN,7,3406
OULA R1,2.075,1.45,-0.55,0.45,0.5,NaN,NaN,NaN,5,3790
Aion S,3.055555556,0.966666667,0.872222222,1.227777778,1,0.5,0.6,-0.011111111,8,3815
BYD-TANG,2.566666667,0.4,0.166666667,NaN,NaN,NaN,NaN,NaN,4,3833
Beiqi EU,1,4.2,-0.4,2.1,NaN,NaN,NaN,0.5,1,3895
OULA R1,3.55,1.95,0.8,-1,0.25,0.5,0.25,NaN,3,4002
OULA R1,0.92,0.7,0.08,0.1,NaN,NaN,NaN,NaN,4,4002
Aion S,3.438888889,2.688888889,1.633333333,0.855555556,0.708333333,0.322222222,0.25,0.05,9,4006
Aion S,2.705405405,1.145945946,0.975675676,0.121621622,0.194594595,0.097297297,0.097297297,0.054054054,10,4217
Beiqi EU,4.8,2,-1,-1,2,NaN,-2,NaN,4,4738
BYD-TANG,5.1,1.5,NaN,NaN,NaN,NaN,NaN,NaN,3,4763
BYD-TANG,3.6,2.933333333,NaN,NaN,NaN,NaN,NaN,NaN,1,6908
Beiqi EU,-0.8,-0.3,0.7,NaN,2,2,1.5,0.5,5,7079
Beiqi EU,2.7,4.1,1.6,1.5,NaN,NaN,NaN,NaN,10,7623
Beiqi EU,0,1.5,-2,NaN,NaN,1.3,1.5,-0.5,9,8710
Beiqi EU,7.36,5.64,2.72,2.76,2.16,1.56,0.2,0.16,7,8937
